,name,gender,origin,meaning
SÉARLAIT,SÉARLAIT,['f'],['Irish'],Irish form of CHARLOTTE.
SÉARLAS,SÉARLAS,['m'],['Irish'],Irish form of CHARLES.
SÉBASTIEN,SÉBASTIEN,['m'],['French'],French form of Sebastianus (see SEBASTIAN).
SÉBASTIENNE,SÉBASTIENNE,['f'],['French'],French feminine form of Sebastianus (see SEBASTIAN).
SÉBIRE,SÉBIRE,['f'],['Norman'],Norman form of SIBYL.
SÉGOLÈNE,SÉGOLÈNE,['f'],['French'],Possibly a French form of SIEGLINDE.
SÉPHORA,SÉPHORA,['f'],['French'],French form of ZIPPORAH.
SÉRAPHIN,SÉRAPHIN,['m'],['French'],French form of Seraphinus (see SERAPHINA).
SÉRAPHINE,SÉRAPHINE,['f'],['French'],French form of SERAPHINA.
SÉRGIO,SÉRGIO,['m'],['Portuguese'],Portuguese form of SERGIUS.
SÉVERIN,SÉVERIN,['m'],['French'],French form of SEVERINUS.
SÉVERINE,SÉVERINE,['f'],['French'],French feminine form of SEVERINUS.
SÉVÈRE,SÉVÈRE,['m'],['French (Rare)'],French form of SEVERUS.
SÉVÉRINE,SÉVÉRINE,['f'],['French (Rare)'],Variant of SÉVERINE.
SÌLEAS,SÌLEAS,['f'],['Scottish'],Scottish form of CECILIA.
SÌNE,SÌNE,['f'],['Scottish'],Scottish form of JEANNE.
SÌNEAG,SÌNEAG,['f'],['Scottish'],Scottish form of JEANNETTE.
SÌOLTACH,SÌOLTACH,['m'],['Scottish'],"Means ""sower"" in Scottish Gaelic."
SÍLE,SÍLE,['f'],['Irish'],Irish form of CECILIA.
SÍLVIA,SÍLVIA,['f'],"['Portuguese', 'Catalan']",Portuguese and Catalan form of SILVIA.
SÍNE,SÍNE,['f'],['Irish'],Irish form of JEANNE.
SÍOMHA,SÍOMHA,['f'],['Irish'],Variant of SÍTHMAITH.
SÍTHEACH,SÍTHEACH,['m'],['Irish (Rare)'],"Means ""peaceful"" or ""mysterious, fairy-like"" in Irish Gaelic."
SÍTHMAITH,SÍTHMAITH,['f'],['Irish'],"Means ""good peace"" from Irish síth ""peace"" and maith ""good""."
SÓLVEIG,SÓLVEIG,['f'],"['Ancient Scandinavian', 'Icelandic']",Old Norse and Icelandic form of SOLVEIG.
SÖREN,SÖREN,['m'],"['Swedish', 'German']",Swedish and German form of SØREN.
SØLVI,SØLVI,['f'],['Norwegian'],Norwegian variant of SOLVEIG. It is also used as a short form of SILVIA.
SØREN,SØREN,['m'],"['Danish', 'Norwegian']",Danish form of SEVERINUS. Søren Kierkegaard (1813-1855) was a Danish philosopher who is regarded as a precursor of existentialism.
SÜHEYL,SÜHEYL,['m'],['Turkish'],Turkish form of SUHAIL.
SÜHEYLA,SÜHEYLA,['f'],['Turkish'],Turkish feminine form of SUHAIL.
SÜLEYMAN,SÜLEYMAN,['m'],['Turkish'],"Turkish form of SOLOMON. Süleyman the Magnificent was a sultan of the Ottoman Empire in the 16th century. He expanded Ottoman territory into Europe and Persia, reformed the government, and completed several great building projects."
SÜLEÝMAN,SÜLEÝMAN,['m'],['Turkmen'],Turkmen form of SÜLEYMAN.
SÜMEYYE,SÜMEYYE,['f'],['Turkish'],Turkish form of SUMAYYA.
SÜREYYA,SÜREYYA,['f'],['Turkish'],Turkish form of THURAYYA.
SİMGE,SİMGE,['f'],['Turkish'],"Means ""symbol"" in Turkish."
